日付,消費支出,傾向変動,傾向変動調整分,月,季節変動調整分
2012-06-01,92.0477224390757,98.48888805617801,93.55883438289762,6,-2.3073791896058253
2012-07-01,96.64823219442552,98.46294069373897,98.18529150068647,7,-2.3316334382788426
2012-08-01,97.58334507832717,98.43729951776595,99.14604556056115,8,-1.5891634834749908
2012-09-01,90.9884282017482,98.41196121658817,92.57646698515997,9,-4.156134137660473
2012-10-01,96.96994377761386,98.38692247853479,98.58302129907901,10,-2.3885702013190837
2012-11-01,93.39938870905686,98.36217999193498,95.03720871712181,11,-2.8377577263748606
2012-12-01,111.04405793758431,98.33773044511797,112.70632749246627,12,-3.8980779751759655
2013-01-01,98.57201969983284,98.3135705264129,100.25844917341986,1,-1.5177513459323109
2013-02-01,91.46400184646141,98.289696924149,93.17430492231234,2,-0.6448151007185885
2013-03-01,107.86242249239393,98.26610632665542,109.59631616573844,3,0.5746473095272506
2013-04-01,103.84222175401483,98.24279542226137,105.59942633175339,4,-0.6420730823113701
2013-05-01,96.33129681713817,98.219760899296,98.11153591784209,5,-1.5082106810022395
2013-06-01,91.91398867384788,98.19699944608854,93.71698922775927,6,-2.441112954833642
2013-07-01,97.6044968473173,98.17450775096816,99.42998909634906,7,-1.3753687853870673
2013-08-01,97.10913606387139,98.15228250226404,98.95685356160728,8,-2.0633724979307715
2013-09-01,95.76019905440508,98.13032038830536,97.62987866609964,9,0.6156367149963984
2013-10-01,99.16631617694217,98.10861809742133,101.05769807952078,10,-0.19219780199077263
2013-11-01,95.36923248565232,98.08717231794111,97.28206016771114,11,-0.8679139497794068
2013-12-01,114.0943477204974,98.0659797381939,116.02836798230342,12,-0.8477881922628825
2014-01-01,101.34767764343877,98.04503704650888,103.30264059692982,1,1.2579065976736246
2014-02-01,90.95601823313432,98.02434093121524,92.93167730191901,2,-1.1527987140456872
2014-03-01,117.85049250406443,98.00388808064216,119.8466044234222,3,10.562717321197752
2014-04-01,103.0776876522915,97.98367518311883,105.0940124691726,4,-1.4066071840346979
2014-05-01,92.59391569961075,97.96369892697444,94.63021677263623,5,-5.245591798529659
2014-06-01,93.06471313842296,97.94395600053818,95.12075713788471,6,-1.2903884902585645
2014-07-01,95.62407718622677,97.92444309213921,97.69963409408749,7,-3.3557884464775896
2014-08-01,96.24873668656384,97.90515689010675,98.34357979645702,8,-2.923771875238316
2014-09-01,93.89543180763147,97.88609408276997,96.00933772486142,9,-1.2491305317772117
2014-10-01,98.45090876448621,97.86725135845805,100.5836574060281,10,-0.9076052144467326
2014-11-01,95.61657171981092,97.84862540550017,97.76794631431068,11,-0.6205747156208048
2014-12-01,113.38815156227906,97.83021291222555,115.55793865005344,12,-1.5539843504812154
2015-01-01,98.88349655609048,97.81201056696334,101.07148598912707,1,-1.2062744896746693
2015-02-01,90.62236613519349,97.79401505804273,92.82835107715069,2,-1.486450811986515
2015-03-01,108.34447813082993,97.77622307379293,110.56825505703692,3,1.0567029479632453
2015-04-01,102.51102493789506,97.75863130254311,104.75239363535188,4,-1.9732698984311412
2015-05-01,97.71878463137678,97.74123643262246,99.97754819875425,5,-0.12072286676362864
2015-06-01,91.65266197955066,97.72403515236014,93.92862682719044,6,-2.7024396491308664
2015-07-01,95.68480323268226,97.70702415008539,97.9777790825968,7,-3.295062400022104
2015-08-01,99.33007180783338,97.69020011412735,101.63987169370596,8,0.1575632460312164
2015-09-01,93.5825903211164,97.6735597328152,95.90903058830112,9,-1.5619720182922805
2015-10-01,96.34323733189065,97.65709969447818,98.6861376374124,10,-3.015276647042299
2015-11-01,93.2274452966211,97.64081668744542,95.5866286091756,11,-3.0097011388106267
2015-12-01,108.57475948677066,97.62470740004615,110.95005208672444,12,-6.367376425989619
2016-01-01,95.85606432998931,97.60876852060952,98.24729580937972,1,-4.233706715775838
2016-02-01,92.03544076675885,97.59299673746473,94.44244402929405,2,-0.07337618042114968
2016-03-01,102.65055838171693,97.57738873894097,105.0731696427759,3,-4.637216801149748
2016-04-01,101.84235611175596,97.56194121336742,104.28041489838847,4,-2.641938724570238
2016-05-01,96.14741288994992,97.54665084907326,98.60076204087659,5,-1.6920946081904873
2016-06-01,89.19632751618258,97.5315143343877,91.66481318179481,6,-5.158774112498946
2016-07-01,94.8646604479688,97.51652835763988,97.34813209032885,7,-4.115205184735558
2016-08-01,94.2747990191961,97.50168960715905,96.77310941203697,8,-4.897709542606066
2016-09-01,91.12966743339187,97.48699477127434,93.64267266211746,9,-4.014894906016806
2016-10-01,96.1931280035737,97.47244053831497,98.72068746525866,10,-3.165385975359243
2016-11-01,92.40184399087794,97.4580235966101,94.94382039426776,11,-3.8353024445537898
2016-12-01,108.65459035683014,97.44374063448893,111.21084972234114,12,-6.287545555930137
2017-01-01,95.26790868903839,97.42958834028066,97.83832034875766,1,-4.821862356726754
2017-02-01,88.92067220418237,97.41556340231445,91.50510880186785,2,-3.188144742997636
2017-03-01,101.64516703955779,97.4016625089195,104.24350453063822,3,-5.642608143308891
2017-04-01,100.95841686250782,97.387882348425,103.57053451408275,4,-3.525877973818382
2017-05-01,96.56669553654427,97.37421960916011,99.1924759273841,5,-1.2728119615961333
2017-06-01,91.70383561420417,97.36067097945404,94.34316463475005,6,-2.6512660144773577
2017-07-01,95.25016849569184,97.34723314763598,97.90293534805579,7,-3.729697137012522
2017-08-01,95.6332884404644,97.3339028020351,98.29938563842923,8,-3.539220121337763
2017-09-01,91.70383561420417,97.3206766309806,94.3831589832235,9,-3.440726725204513
2017-10-01,96.50392254470265,97.30755132280164,99.19637122190093,10,-2.8545914342303007
2017-11-01,94.62380320753299,97.29452356582745,97.32927964170547,11,-1.6133432278987385
2017-12-01,109.9062974604548,97.28159004838717,112.62470741206755,12,-5.035838452305484
2018-01-01,98.83436986682312,97.26874745881001,101.56562240801304,1,-1.255401178942023
2018-02-01,90.61622529903507,97.25599248542515,93.36023281360984,2,-1.4925916481449377
2018-03-01,102.76689311116256,97.24332181656177,105.52357129460071,3,-4.520882071704122
2018-04-01,100.45009209161636,97.2307321405491,103.21935995106719,4,-4.0342027447098445
2018-05-01,95.97001095648444,97.21822014571624,98.75179081076813,5,-1.8694965416559626
2018-06-01,91.30775168198606,97.20578252039246,94.10196916159353,6,-3.047349946695462
2018-07-01,96.67961869034633,97.19341595290689,99.48620273743937,7,-2.3002469423580294
2018-08-01,99.78210558060597,97.18111713158876,102.60098844901714,8,0.6095970188038109
2018-09-01,92.54683595572952,97.16888274476722,95.37795321096223,9,-2.5977263836791593
2018-10-01,99.0707920589223,97.15670948077147,101.91408257815075,10,-0.2877219200106538
2018-11-01,95.87926304436556,97.14459402793068,98.73466901643481,11,-0.3578833910661672
2018-12-01,112.33329237328822,97.13253307457407,115.20075929871408,12,-2.608843539472062
2019-01-01,101.10033840928018,97.1205233090308,103.97981510024931,1,1.0105673635150367
2019-02-01,92.5328484955909,97.10856141963006,95.42428707596076,2,0.42403154841089474
2019-03-01,105.5111645588477,97.09664409470105,108.41452046414658,3,-1.7766106240189856
2019-04-01,102.73482430011305,97.08476802257293,105.65005627754005,4,-1.7494705362131526
2019-05-01,102.65465227248922,97.07292989157492,105.58172238091423,5,4.815144774348809
2019-06-01,94.46038873420613,97.06112639003616,97.3992623441699,6,0.10528710552461007
2019-07-01,98.26224863139697,97.04935420628587,101.21289442511103,7,-0.7176170013073886
2019-08-01,101.09419757312178,97.03761002865323,104.05658754446847,8,1.9216890113196143
2019-09-01,102.55503426369708,97.02589054546743,105.52914371822958,9,7.410471924288402
2019-10-01,95.41187718119691,97.01419244505765,98.3976847361392,10,-3.9466367977360335
2019-11-01,95.10278842788976,97.00251241575307,98.10027601213662,11,-1.1343580075419624
2019-12-01,109.64121803294967,96.99084714588288,112.65037088706671,12,-5.300917879810612
2020-01-01,97.97124122900071,96.97919332377629,100.99204790522435,1,-2.118529816764436
2020-02-01,92.70445075046231,96.96754763776244,95.7369031126998,2,0.5956338032823112
2020-03-01,99.69101651092275,96.95590677617054,102.73510973475214,3,-7.596758671943931
2020-04-01,91.40361695757029,96.94426742732978,94.45934953024044,4,-13.080677878755907
2020-05-01,85.9775058964773,96.93262627956933,89.04487961690789,5,-11.86200160166311
2020-06-01,93.37448420685882,96.9209800212184,96.45350418564036,6,-0.9806174218227
2020-07-01,91.05393045410469,96.90932534060616,94.14460511349846,7,-7.925935178599673
2020-08-01,94.28230448561195,96.8976589260618,97.38464555955008,8,-4.890204076190216
2020-09-01,92.0658037899866,96.88597746591451,95.17982632407202,9,-3.0787585494220764
2020-10-01,96.72089875563348,96.87427764849346,99.84662110713995,10,-2.6376152232994627
2020-11-01,95.086754022365,96.86255616212785,98.22419786023708,11,-1.1503924130667258
2020-12-01,107.46702087530453,96.85080969514685,110.6162111801576,12,-7.475115037455751
2021-01-01,91.3483494321445,96.83903493587968,94.50931449626475,1,-8.741421613620645
2021-02-01,86.1255682794081,96.8272285726555,89.29833970675253,2,-5.983248667771903
2021-03-01,105.6906134376993,96.8153872938035,108.87522614389573,3,-1.5971617451673836
2021-04-01,102.70309664662787,96.80350778765285,105.89958885897495,4,-1.7811981896983298
2021-05-01,95.88676851078141,96.79158674253276,99.09518176824858,5,-1.9527389873589982
2021-06-01,88.79819663857832,96.77962084677242,92.01857579180583,6,-5.556904990103206
2021-07-01,91.33129155392666,96.76760678870099,94.5636847652256,7,-7.648574078777699
2021-08-01,90.9655706449363,96.75554125664767,94.21002938828856,8,-8.206937916865854
2021-09-01,90.51114876921321,96.74342093894165,93.76772783027148,9,-4.633413570195472
2021-10-01,96.20506851832619,96.73124252391212,99.473825994414,10,-3.1534454606067612
2021-11-01,94.51053889616657,96.71900269988824,97.79153619627826,11,-1.72660753926516
2021-12-01,108.21722635932487,96.70669815519922,111.51052820412558,12,-6.72490955343541
2022-01-01,98.18548817941671,96.69432557817424,101.4911626012424,1,-1.9042828663484386
2022-02-01,87.980100799251,96.68188165714248,91.29821914210845,2,-4.128716147928998
2022-03-01,104.82441438179771,96.66936308043314,108.1550513013645,3,-2.4633608010689727
2022-04-01,103.88588992225247,96.6567665363754,107.229123385877,4,-0.5984049140737255
2022-05-01,98.14659621708005,96.64408871329843,101.50250750378154,5,0.30708871893963874
