Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,9.400000,10.750000,9.150000,10.370000,9.064114,1102800
2019-10-14,10.260000,10.420000,9.870000,10.040000,8.775669,896200
2019-10-21,10.100000,11.530000,9.795000,10.510000,9.186484,1555400
2019-10-28,10.730000,11.050000,9.780000,10.220000,8.933003,1048500
2019-11-04,10.360000,11.470000,9.640000,11.430000,9.990628,1996600
2019-11-11,11.140000,11.820000,10.780000,10.890000,9.518629,1478400
2019-11-18,10.930000,10.990000,9.930000,10.330000,9.029150,1352500
2019-11-25,10.250000,10.670000,10.200000,10.500000,9.626750,1463600
2019-12-02,10.630000,10.680000,9.760000,10.200000,9.351699,939300
2019-12-09,10.190000,10.550000,9.650000,9.710000,8.902452,859100
2019-12-16,9.790000,10.880000,9.610000,10.720000,9.828453,1522300
2019-12-23,10.750000,11.220000,10.447000,10.600000,9.718435,1288300
2019-12-30,10.500000,10.890000,10.130000,10.300000,9.443385,792000
2020-01-06,10.150000,10.720000,9.760000,10.070000,9.232512,885800
2020-01-13,10.090000,10.180000,9.630000,9.740000,8.929958,784600
2020-01-20,9.760000,9.760000,8.525000,8.730000,8.003956,915600
2020-01-27,8.400000,8.580000,7.810000,7.870000,7.215479,1127100
2020-02-03,7.850000,8.190000,7.610000,7.690000,7.050449,1157500
2020-02-10,7.700000,8.760000,7.330000,7.800000,7.151301,1477400
2020-02-17,7.790000,8.220000,7.630000,7.860000,7.206311,698900
2020-02-24,7.550000,7.750000,6.828000,7.680000,7.041281,1615000
2020-03-02,7.740000,7.790000,6.450000,6.670000,6.115279,1309700
2020-03-09,6.410000,6.520000,5.015000,5.700000,5.358781,2273000
2020-03-16,5.250000,5.670000,4.270000,4.850000,4.559665,2004100
2020-03-23,4.820000,5.780000,4.660000,5.580000,5.245965,1005700
2020-03-30,5.370000,6.860000,5.210000,5.250000,4.935719,1336100
2020-04-06,5.680000,6.400000,5.220000,5.560000,5.227162,915300
2020-04-13,5.600000,6.720000,5.500000,6.460000,6.073286,1346800
2020-04-20,6.270000,6.390000,5.460000,5.600000,5.264768,824700
2020-04-27,5.720000,6.440000,5.340000,5.480000,5.151951,883300
2020-05-04,5.510000,5.670000,4.760000,5.390000,5.067338,1005700
2020-05-11,5.270000,5.270000,4.300000,4.580000,4.305828,960700
