Date,Open,High,Low,Close
2021-09-21,1.329,1.343,1.306,1.326
2021-09-20,1.355,1.355,1.297,1.312
2021-09-17,1.333,1.384,1.328,1.363
2021-09-16,1.304,1.351,1.302,1.336
2021-09-15,1.287,1.317,1.265,1.304
2021-09-14,1.328,1.348,1.267,1.284
2021-09-13,1.339,1.344,1.317,1.327
2021-09-10,1.307,1.35,1.307,1.343
2021-09-09,1.334,1.344,1.287,1.299
2021-09-08,1.363,1.363,1.331,1.338
2021-09-07,1.351,1.38,1.346,1.375
2021-09-03,1.292,1.334,1.289,1.326
2021-09-02,1.299,1.304,1.285,1.287
2021-09-01,1.327,1.329,1.285,1.297
2021-08-31,1.28,1.312,1.273,1.31
2021-08-30,1.3,1.314,1.278,1.282
2021-08-27,1.337,1.356,1.304,1.31
2021-08-26,1.337,1.371,1.337,1.351
2021-08-25,1.287,1.351,1.285,1.349
2021-08-24,1.275,1.299,1.26,1.297
2021-08-23,1.263,1.282,1.252,1.255
2021-08-20,1.233,1.265,1.228,1.255
2021-08-19,1.243,1.255,1.223,1.243
2021-08-18,1.268,1.298,1.258,1.26
2021-08-17,1.237,1.268,1.222,1.267
2021-08-16,1.26,1.28,1.227,1.268
2021-08-13,1.34,1.357,1.28,1.282
2021-08-12,1.34,1.376,1.339,1.361
2021-08-11,1.366,1.376,1.308,1.335
2021-08-10,1.314,1.357,1.31,1.352
2021-08-09,1.305,1.329,1.272,1.325
2021-08-06,1.245,1.305,1.237,1.3
2021-08-05,1.192,1.225,1.17,1.225
2021-08-04,1.134,1.212,1.134,1.182
2021-08-03,1.182,1.199,1.157,1.172
2021-08-02,1.234,1.242,1.156,1.179
